tempo_exec,b*,sol,heuristic,depth
0.0002236600003016065,1.532659351147379,"[array([[1, 4, 2],
       [3, 7, 5],
       [6, 8, 0]]), array([[1, 4, 2],
       [3, 7, 5],
       [6, 0, 8]]), array([[1, 4, 2],
       [3, 0, 5],
       [6, 7, 8]]), array([[1, 0, 2],
       [3, 4, 5],
       [6, 7, 8]]), array([[0, 1, 2],
       [3, 4, 5],
       [6, 7, 8]])]",one,4
0.0007012899995970656,1.532659351147379,"[array([[1, 4, 2],
       [3, 7, 5],
       [6, 8, 0]]), array([[1, 4, 2],
       [3, 7, 5],
       [6, 0, 8]]), array([[1, 4, 2],
       [3, 0, 5],
       [6, 7, 8]]), array([[1, 0, 2],
       [3, 4, 5],
       [6, 7, 8]]), array([[0, 1, 2],
       [3, 4, 5],
       [6, 7, 8]])]",two,4
0.00022382000042853178,1.532659351147379,"[array([[3, 1, 2],
       [6, 0, 5],
       [7, 4, 8]]), array([[3, 1, 2],
       [6, 4, 5],
       [7, 0, 8]]), array([[3, 1, 2],
       [6, 4, 5],
       [0, 7, 8]]), array([[3, 1, 2],
       [0, 4, 5],
       [6, 7, 8]]), array([[0, 1, 2],
       [3, 4, 5],
       [6, 7, 8]])]",one,4
0.000734859999283799,1.532659351147379,"[array([[3, 1, 2],
       [6, 0, 5],
       [7, 4, 8]]), array([[3, 1, 2],
       [6, 4, 5],
       [7, 0, 8]]), array([[3, 1, 2],
       [6, 4, 5],
       [0, 7, 8]]), array([[3, 1, 2],
       [0, 4, 5],
       [6, 7, 8]]), array([[0, 1, 2],
       [3, 4, 5],
       [6, 7, 8]])]",two,4
0.0002684700002646423,1.6067031065338597,"[array([[3, 2, 0],
       [4, 1, 5],
       [6, 7, 8]]), array([[3, 0, 2],
       [4, 1, 5],
       [6, 7, 8]]), array([[3, 1, 2],
       [4, 0, 5],
       [6, 7, 8]]), array([[3, 1, 2],
       [0, 4, 5],
       [6, 7, 8]]), array([[0, 1, 2],
       [3, 4, 5],
       [6, 7, 8]])]",one,4
0.0007040099999358063,1.532659351147379,"[array([[3, 2, 0],
       [4, 1, 5],
       [6, 7, 8]]), array([[3, 0, 2],
       [4, 1, 5],
       [6, 7, 8]]), array([[3, 1, 2],
       [4, 0, 5],
       [6, 7, 8]]), array([[3, 1, 2],
       [0, 4, 5],
       [6, 7, 8]]), array([[0, 1, 2],
       [3, 4, 5],
       [6, 7, 8]])]",two,4
0.0002236600003016065,1.532659351147379,"[array([[1, 2, 5],
       [3, 0, 4],
       [6, 7, 8]]), array([[1, 2, 5],
       [3, 4, 0],
       [6, 7, 8]]), array([[1, 2, 0],
       [3, 4, 5],
       [6, 7, 8]]), array([[1, 0, 2],
       [3, 4, 5],
       [6, 7, 8]]), array([[0, 1, 2],
       [3, 4, 5],
       [6, 7, 8]])]",one,4
0.000733339999896998,1.532659351147379,"[array([[1, 2, 5],
       [3, 0, 4],
       [6, 7, 8]]), array([[1, 2, 5],
       [3, 4, 0],
       [6, 7, 8]]), array([[1, 2, 0],
       [3, 4, 5],
       [6, 7, 8]]), array([[1, 0, 2],
       [3, 4, 5],
       [6, 7, 8]]), array([[0, 1, 2],
       [3, 4, 5],
       [6, 7, 8]])]",two,4
0.0012153489997217548,1.4938959948501407,"[array([[3, 5, 0],
       [4, 2, 1],
       [6, 7, 8]]), array([[3, 5, 1],
       [4, 2, 0],
       [6, 7, 8]]), array([[3, 5, 1],
       [4, 0, 2],
       [6, 7, 8]]), array([[3, 0, 1],
       [4, 5, 2],
       [6, 7, 8]]), array([[3, 1, 0],
       [4, 5, 2],
       [6, 7, 8]]), array([[3, 1, 2],
       [4, 5, 0],
       [6, 7, 8]]), array([[3, 1, 2],
       [4, 0, 5],
       [6, 7, 8]]), array([[3, 1, 2],
       [0, 4, 5],
       [6, 7, 8]]), array([[0, 1, 2],
       [3, 4, 5],
       [6, 7, 8]])]",one,8
0.002559869999458897,1.3992839464709659,"[array([[3, 5, 0],
       [4, 2, 1],
       [6, 7, 8]]), array([[3, 5, 1],
       [4, 2, 0],
       [6, 7, 8]]), array([[3, 5, 1],
       [4, 0, 2],
       [6, 7, 8]]), array([[3, 0, 1],
       [4, 5, 2],
       [6, 7, 8]]), array([[3, 1, 0],
       [4, 5, 2],
       [6, 7, 8]]), array([[3, 1, 2],
       [4, 5, 0],
       [6, 7, 8]]), array([[3, 1, 2],
       [4, 0, 5],
       [6, 7, 8]]), array([[3, 1, 2],
       [0, 4, 5],
       [6, 7, 8]]), array([[0, 1, 2],
       [3, 4, 5],
       [6, 7, 8]])]",two,8
